	DECLARANT	DECLARANT_ISO	PARTNER	PARTNER_ISO	PRODUCT_HS	FLOW	TRANSPORT_MODE	PERIOD	VALUE_IN_EUROS	QUANTITY_IN_KG
53405	1	FR	73	BY	390529	2	3	201952	33570	20000
53406	1	FR	73	BY	390591	2	3	201952	16573	4410
53407	1	FR	73	BY	390690	2	1	201952	1496	1200
53408	1	FR	73	BY	390690	2	3	201952	1684241	757923
53409	1	FR	73	BY	390690	2	4	201952	660	40
53410	1	FR	73	BY	390720	2	3	201952	609	200
53411	1	FR	73	BY	390730	1	3	201952	60	11
53412	1	FR	73	BY	390791	2	3	201952	10760	4000
53413	1	FR	73	BY	390799	2	3	201952	9562	2700
53414	1	FR	73	BY	390810	2	3	201952	560157	42367
53415	1	FR	73	BY	390890	2	3	201952	13464	1200
53416	1	FR	73	BY	390950	1	3	201952	131	27
53417	1	FR	73	BY	390950	2	1	201952	23739	13200
53418	1	FR	73	BY	390950	2	3	201952	59290	14595
53419	1	FR	73	BY	391190	2	3	201952	133997	114575
53420	1	FR	73	BY	391390	2	3	201952	93436	2070
53421	1	FR	73	BY	391390	2	4	201952	3890	6
53422	1	FR	73	BY	391610	2	3	201952	227	56
53423	1	FR	73	BY	391620	1	3	201952	323	5
53424	1	FR	73	BY	391620	2	3	201952	12949	4990
53425	1	FR	73	BY	391690	2	3	201952	37919	5545
53426	1	FR	73	BY	391723	2	3	201952	7125	3132
53427	1	FR	73	BY	391729	2	3	201952	246	25
53428	1	FR	73	BY	391731	2	3	201952	6095	10
53429	1	FR	73	BY	391732	1	3	201952	114141	13245
53430	1	FR	73	BY	391732	2	3	201952	11874	2075
53431	1	FR	73	BY	391732	2	4	201952	98	1
53432	1	FR	73	BY	391733	2	3	201952	229	1
53433	1	FR	73	BY	391739	2	3	201952	3312	220
53434	1	FR	73	BY	391740	2	3	201952	22496	2556
53435	1	FR	73	BY	391740	2	4	201952	6	0
53436	1	FR	73	BY	391810	2	3	201952	32880	4429
53437	1	FR	73	BY	391910	2	3	201952	11	0
53438	1	FR	73	BY	391990	1	3	201952	443	28
53439	1	FR	73	BY	391990	2	3	201952	16297	1960
53440	1	FR	73	BY	391990	2	4	201952	62	1
53441	1	FR	73	BY	392010	2	3	201952	186329	28310
53442	1	FR	73	BY	392020	2	3	201952	2630	696
53443	1	FR	73	BY	392049	1	3	201952	1280	129
53444	1	FR	73	BY	392049	2	3	201952	105450	33377
53445	1	FR	73	BY	392061	2	3	201952	2340	1619
